Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
222,100,3,15,0,0,0.5,5,2,1.0
223,100,3,15,0,0,0.9,1,2,1.0
224,100,3,15,0,0,0.9,2,2,1.0
225,100,3,15,0,0,0.9,5,2,1.0
226,100,4,1,0,0,0.05,1,2,0.9466666666666667
227,100,4,1,0,0,0.05,2,2,0.96
228,100,4,1,0,0,0.05,5,2,0.96
229,100,4,1,0,0,0.5,1,2,0.95
230,100,4,1,0,0,0.5,2,2,0.96
231,100,4,1,0,0,0.5,5,2,0.96
232,100,4,1,0,0,0.9,1,2,0.9733333333333334
233,100,4,1,0,0,0.9,2,2,0.9566666666666667
234,100,4,1,0,0,0.9,5,2,0.95
235,100,4,3,0,0,0.05,1,2,0.9433333333333334
236,100,4,3,0,0,0.05,2,2,0.9533333333333334
237,100,4,3,0,0,0.05,5,2,0.95
238,100,4,3,0,0,0.5,1,2,0.94
239,100,4,3,0,0,0.5,2,2,0.96
240,100,4,3,0,0,0.5,5,2,0.9433333333333334
241,100,4,3,0,0,0.9,1,2,0.9566666666666667
242,100,4,3,0,0,0.9,2,2,0.9633333333333334
243,100,4,3,0,0,0.9,5,2,0.9533333333333334
244,100,4,4,0,0,0.05,1,2,0.92
245,100,4,4,0,0,0.05,2,2,0.9466666666666667
246,100,4,4,0,0,0.05,5,2,0.9666666666666667
247,100,4,4,0,0,0.5,1,2,0.9433333333333334
248,100,4,4,0,0,0.5,2,2,0.9466666666666667
249,100,4,4,0,0,0.5,5,2,0.9266666666666666
250,100,4,4,0,0,0.9,1,2,0.9466666666666667
251,100,4,4,0,0,0.9,2,2,0.9333333333333333
252,100,4,4,0,0,0.9,5,2,0.94
253,100,4,10,0,0,0.05,1,2,0.9966666666666667
254,100,4,10,0,0,0.05,2,2,0.9933333333333333
255,100,4,10,0,0,0.05,5,2,0.99
256,100,4,10,0,0,0.5,1,2,0.9966666666666667
257,100,4,10,0,0,0.5,2,2,0.9933333333333333
258,100,4,10,0,0,0.5,5,2,0.98
259,100,4,10,0,0,0.9,1,2,0.9933333333333333
260,100,4,10,0,0,0.9,2,2,0.9966666666666667
261,100,4,10,0,0,0.9,5,2,1.0
262,100,4,15,0,0,0.05,1,2,1.0
263,100,4,15,0,0,0.05,2,2,1.0
264,100,4,15,0,0,0.05,5,2,1.0
265,100,4,15,0,0,0.5,1,2,1.0
266,100,4,15,0,0,0.5,2,2,1.0
267,100,4,15,0,0,0.5,5,2,1.0
268,100,4,15,0,0,0.9,1,2,1.0
269,100,4,15,0,0,0.9,2,2,1.0
270,100,4,15,0,0,0.9,5,2,1.0
271,100,10,1,0,0,0.05,1,2,0.9533333333333334
272,100,10,1,0,0,0.05,2,2,0.97
273,100,10,1,0,0,0.05,5,2,0.9566666666666667
274,100,10,1,0,0,0.5,1,2,0.95
275,100,10,1,0,0,0.5,2,2,0.9333333333333333
276,100,10,1,0,0,0.5,5,2,0.9533333333333334
277,100,10,1,0,0,0.9,1,2,0.9666666666666667
278,100,10,1,0,0,0.9,2,2,0.96
279,100,10,1,0,0,0.9,5,2,0.9666666666666667
280,100,10,3,0,0,0.05,1,2,0.9366666666666666
281,100,10,3,0,0,0.05,2,2,0.94
