Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
241,500,5,4,0,0,0.9,5,2,0.94
242,500,5,4,0,1,0.9,5,2,0.37
243,500,5,4,0,2,0.9,5,2,0.2866666666666667
244,500,5,4,1,0,0.0,0,2,0.05
245,500,5,4,1,1,0.0,0,2,0.15666666666666668
246,500,5,4,1,2,0.0,0,2,0.18333333333333332
247,500,5,4,1,0,0.0,2,2,0.08666666666666667
248,500,5,4,1,1,0.0,2,2,0.18333333333333332
249,500,5,4,1,2,0.0,2,2,0.23666666666666666
250,500,5,4,1,0,0.0,5,2,0.24666666666666667
251,500,5,4,1,1,0.0,5,2,0.23333333333333334
252,500,5,4,1,2,0.0,5,2,0.2866666666666667
253,500,5,4,1,0,0.5,0,2,0.07
254,500,5,4,1,1,0.5,0,2,0.18333333333333332
255,500,5,4,1,2,0.5,0,2,0.21666666666666667
256,500,5,4,1,0,0.5,2,2,0.09333333333333334
257,500,5,4,1,1,0.5,2,2,0.19333333333333333
258,500,5,4,1,2,0.5,2,2,0.21333333333333335
259,500,5,4,1,0,0.5,5,2,0.19666666666666666
260,500,5,4,1,1,0.5,5,2,0.24333333333333335
261,500,5,4,1,2,0.5,5,2,0.2966666666666667
262,500,5,4,1,0,0.9,0,2,0.05333333333333334
263,500,5,4,1,1,0.9,0,2,0.20333333333333334
264,500,5,4,1,2,0.9,0,2,0.21666666666666667
265,500,5,4,1,0,0.9,2,2,0.06333333333333334
266,500,5,4,1,1,0.9,2,2,0.15333333333333332
267,500,5,4,1,2,0.9,2,2,0.24333333333333335
268,500,5,4,1,0,0.9,5,2,0.08666666666666667
269,500,5,4,1,1,0.9,5,2,0.20666666666666667
270,500,5,4,1,2,0.9,5,2,0.22666666666666666
271,500,5,4,2,0,0.0,0,2,0.0
272,500,5,4,2,1,0.0,0,2,0.10333333333333333
273,500,5,4,2,2,0.0,0,2,0.10666666666666667
274,500,5,4,2,0,0.0,2,2,0.0
275,500,5,4,2,1,0.0,2,2,0.09
276,500,5,4,2,2,0.0,2,2,0.17333333333333334
277,500,5,4,2,0,0.0,5,2,0.04666666666666667
278,500,5,4,2,1,0.0,5,2,0.12666666666666668
279,500,5,4,2,2,0.0,5,2,0.15
280,500,5,4,2,0,0.5,0,2,0.0033333333333333335
281,500,5,4,2,1,0.5,0,2,0.06666666666666667
282,500,5,4,2,2,0.5,0,2,0.13333333333333333
283,500,5,4,2,0,0.5,2,2,0.013333333333333334
284,500,5,4,2,1,0.5,2,2,0.07333333333333333
285,500,5,4,2,2,0.5,2,2,0.10666666666666667
286,500,5,4,2,0,0.5,5,2,0.06
287,500,5,4,2,1,0.5,5,2,0.12
288,500,5,4,2,2,0.5,5,2,0.14333333333333334
289,500,5,4,2,0,0.9,0,2,0.0
290,500,5,4,2,1,0.9,0,2,0.08333333333333333
291,500,5,4,2,2,0.9,0,2,0.14333333333333334
292,500,5,4,2,0,0.9,2,2,0.0
293,500,5,4,2,1,0.9,2,2,0.11
294,500,5,4,2,2,0.9,2,2,0.16
295,500,5,4,2,0,0.9,5,2,0.006666666666666667
296,500,5,4,2,1,0.9,5,2,0.10666666666666667
297,500,5,4,2,2,0.9,5,2,0.18333333333333332
298,500,5,4,5,0,0.0,0,2,0.05
299,500,5,4,5,1,0.0,0,2,0.04666666666666667
300,500,5,4,5,2,0.0,0,2,0.05
301,500,5,4,5,0,0.0,2,2,0.06333333333333334
302,500,5,4,5,1,0.0,2,2,0.056666666666666664
303,500,5,4,5,2,0.0,2,2,0.07666666666666666
304,500,5,4,5,0,0.0,5,2,0.08333333333333333
305,500,5,4,5,1,0.0,5,2,0.07666666666666666
306,500,5,4,5,2,0.0,5,2,0.1
307,500,5,4,5,0,0.5,0,2,0.05333333333333334
308,500,5,4,5,1,0.5,0,2,0.05333333333333334
309,500,5,4,5,2,0.5,0,2,0.05
310,500,5,4,5,0,0.5,2,2,0.05
311,500,5,4,5,1,0.5,2,2,0.07333333333333333
312,500,5,4,5,2,0.5,2,2,0.07
313,500,5,4,5,0,0.5,5,2,0.07
314,500,5,4,5,1,0.5,5,2,0.06333333333333334
315,500,5,4,5,2,0.5,5,2,0.08333333333333333
316,500,5,4,5,0,0.9,0,2,0.06333333333333334
317,500,5,4,5,1,0.9,0,2,0.06333333333333334
318,500,5,4,5,2,0.9,0,2,0.06666666666666667
319,500,5,4,5,0,0.9,2,2,0.04
320,500,5,4,5,1,0.9,2,2,0.05333333333333334
